timestamp_utc,url,status,filepath,bytes,error
2026-04-14T05:37:43.206819+00:00,https://arxiv.org/pdf/2004.08116v1,downloaded,electron_pdfs/2004.08116v1.pdf,738903,
2026-04-14T05:37:44.368386+00:00,https://arxiv.org/pdf/2602.13567v1,downloaded,electron_pdfs/2602.13567v1.pdf,1063488,
2026-04-14T05:37:45.537543+00:00,https://arxiv.org/pdf/2405.09820v1,downloaded,electron_pdfs/2405.09820v1.pdf,754225,
2026-04-14T05:37:46.655542+00:00,https://arxiv.org/pdf/1812.00660v1,downloaded,electron_pdfs/1812.00660v1.pdf,212529,
2026-04-14T05:37:47.877585+00:00,https://arxiv.org/pdf/1909.11723v3,downloaded,electron_pdfs/1909.11723v3.pdf,1282462,
2026-04-14T05:37:49.252481+00:00,https://arxiv.org/pdf/2306.10687v1,downloaded,electron_pdfs/2306.10687v1.pdf,1526853,
2026-04-14T05:37:50.477124+00:00,https://arxiv.org/pdf/2602.14301v1,downloaded,electron_pdfs/2602.14301v1.pdf,2004321,
2026-04-14T05:37:51.620127+00:00,https://arxiv.org/pdf/2007.06889v2,downloaded,electron_pdfs/2007.06889v2.pdf,804755,
2026-04-14T05:38:03.797965+00:00,https://arxiv.org/pdf/2302.07215v1,downloaded,electron_pdfs/2302.07215v1.pdf,28504513,
2026-04-14T05:38:05.006213+00:00,https://arxiv.org/pdf/2008.00506v1,downloaded,electron_pdfs/2008.00506v1.pdf,870856,
2026-04-14T05:38:06.213333+00:00,https://arxiv.org/pdf/2210.16611v2,downloaded,electron_pdfs/2210.16611v2.pdf,437546,
2026-04-14T05:38:07.861342+00:00,https://arxiv.org/pdf/2502.03034v1,downloaded,electron_pdfs/2502.03034v1.pdf,1273886,
2026-04-14T05:38:09.394082+00:00,https://arxiv.org/pdf/2504.19565v3,downloaded,electron_pdfs/2504.19565v3.pdf,2912496,
2026-04-14T05:38:10.552838+00:00,https://arxiv.org/pdf/2303.11098v5,downloaded,electron_pdfs/2303.11098v5.pdf,830331,
2026-04-14T05:38:11.883587+00:00,https://arxiv.org/pdf/2205.11246v1,downloaded,electron_pdfs/2205.11246v1.pdf,637381,
2026-04-14T05:38:13.181413+00:00,https://arxiv.org/pdf/1908.02146v2,downloaded,electron_pdfs/1908.02146v2.pdf,1285399,
2026-04-14T05:38:14.834025+00:00,https://arxiv.org/pdf/2601.03195v1,downloaded,electron_pdfs/2601.03195v1.pdf,503959,
2026-04-14T05:38:16.153129+00:00,https://arxiv.org/pdf/2306.08302v3,downloaded,electron_pdfs/2306.08302v3.pdf,3347785,
2026-04-14T05:38:17.328428+00:00,https://arxiv.org/pdf/2302.14416v3,downloaded,electron_pdfs/2302.14416v3.pdf,2552664,
2026-04-14T05:38:18.901977+00:00,https://arxiv.org/pdf/2411.01023v1,downloaded,electron_pdfs/2411.01023v1.pdf,1633524,
2026-04-14T05:38:20.167246+00:00,https://arxiv.org/pdf/2206.04801v1,downloaded,electron_pdfs/2206.04801v1.pdf,993771,
2026-04-14T05:38:21.380609+00:00,https://arxiv.org/pdf/1807.04705v2,downloaded,electron_pdfs/1807.04705v2.pdf,303401,
2026-04-14T05:38:26.903815+00:00,https://arxiv.org/pdf/2412.06780v2,downloaded,electron_pdfs/2412.06780v2.pdf,10669794,
2026-04-14T05:38:28.414595+00:00,https://arxiv.org/pdf/2404.17732v1,downloaded,electron_pdfs/2404.17732v1.pdf,1149893,
